timestamp,electrode,s1,s2,s3,s4,s5,intuitive
1745181614353,3,-18568,30788,-12681,-18565,31113,0
1745181614354,2,22397,31947,-14217,26494,32239,0
1745181614354,0,-6011,-31699,21880,14469,-31662,0
1745181614355,1,0,7908,-18415,16392,2,0
1745181614356,4,-1910,27209,11047,22649,-30671,0
1745181614383,3,18304,31685,-5801,1920,31722,0
1745181614384,2,14206,32483,-8649,-22659,32220,0
1745181614384,0,26756,-31410,20872,26756,-31933,0
1745181614385,1,275,894,21392,-32755,167,0
1745181614387,4,1923,26727,-22137,-22393,-25173,0
1745181614428,3,-2178,31155,-29401,-18565,31972,0
1745181614428,2,-6276,31940,-9737,-22659,32481,0
1745181614429,0,22400,32734,-3353,-30851,-32258,0
1745181614443,1,28933,4555,6320,20483,0,0
1745181614444,4,-22875,25763,7047,-18050,-29694,0
1745181614488,3,26492,32499,-19209,-22662,-32257,0
1745181614489,2,10111,-32522,8,-6274,32753,0
1745181614489,0,10108,32463,-10009,-2181,31672,0
1745181614490,1,534,4714,0,-32764,18,0
1745181614491,4,-22671,32360,25815,14189,-18182,0
1745181614518,3,18295,32418,-16521,-26759,32181,0
1745181614520,2,-22661,31930,-14073,-22659,32480,0
1745181614533,0,18295,31087,-22761,30587,31403,0
1745181614534,1,28680,32,19184,24577,0,0
1745181614535,4,-10648,30584,5415,-18589,-27814,0
1745181614564,3,26488,31878,-6825,-26756,31666,0
1745181614578,2,-30851,31954,-13081,18301,32222,0
1745181614593,0,22394,31144,-25145,10107,31165,0
1745181614593,1,14,21,-28160,-12280,0,0
1745181614595,4,-10388,28945,-9290,31082,-21439,0
1745181614623,3,-2178,31687,-9273,18301,31162,0
1745181614624,2,-10370,32489,-4713,-2178,32490,0
1745181614624,0,18299,31415,-23737,-6278,31412,0
1745181614625,1,-4084,0,-28704,9,3,0
1745181614626,4,22394,31733,3479,-1669,-25487,0
1745181614668,3,-14208,31235,-20473,26494,31452,0
1745181614669,2,6015,32492,-329,-22656,32243,0
1745181614669,0,14203,31151,-28377,30586,31410,0
1745181614670,1,4096,512,13872,0,0,0
1745181614672,4,18811,32423,3448,-18288,-29202,0
1745181614713,3,-26757,32477,-9433,-14209,-32463,0
1745181614713,2,-10373,31144,-27753,26489,31396,0
1745181614714,0,26491,32194,-2905,18559,-32762,0
1745181614715,1,256,4107,896,16384,15,0
1745181614716,4,-26753,30453,23736,30854,-31486,0
1745181614758,3,-6018,-32767,-6089,30587,32459,0
1745181614759,2,-14468,32203,-10697,30588,32463,0
1745181614759,0,22399,32493,-4857,-30851,32198,0
1745181614760,1,0,2656,13856,0,4,0
1745181614761,4,5756,26577,-27865,-2183,-31793,0
1745181614803,3,1915,32440,-2953,30588,32166,0
1745181614803,2,22396,32197,-12009,6012,32198,0
1745181614804,0,-26757,31938,-13721,-22661,31138,0
1745181614805,1,-24574,23,1024,4097,5,0
1745181614806,4,13946,26841,20999,18558,-32220,0
1745181614848,3,30589,31392,-13081,26492,31650,0
1745181614849,2,-18561,32493,-11001,1917,32210,0
1745181614849,0,22394,31127,-32137,10105,31392,0
1745181614851,1,4096,1,6144,-8190,1,0
1745181614864,4,-18563,32459,7592,-14465,-26626,0
1745181614893,3,-2180,31151,-18681,22397,31438,0
1745181614895,2,-14468,32198,-16377,-22661,31945,0
1745181614923,0,-26760,31377,-21193,18300,31964,0
1745181614923,1,-20470,174,256,-16382,10,0
1745181614953,4,-22666,-27200,11305,10358,-19957,0
1745181614953,3,18300,31460,-32105,18557,32025,0
1745181614954,2,18300,31940,-12201,1918,32753,0
1745181614968,0,26492,32198,-11545,-2180,31963,0
1745181614968,1,8197,96,0,4096,0,0
1745181614970,4,26480,-32274,14295,22629,-21267,0
1745181614998,3,18554,-32486,-12969,-14211,-32491,0
1745181614999,2,-10370,32504,-4377,30591,32232,0
1745181614999,0,22398,32495,3816,14466,32266,0
1745181615000,1,0,1792,-26480,4096,0,0
1745181615014,4,31077,-24027,15447,-26252,-25816,0
1745181615043,3,14205,32469,-2169,10110,32469,0
1745181615043,2,14208,32504,-6281,10112,32255,0
1745181615058,0,14207,31979,-12073,-6275,31701,0
1745181615058,1,4105,1536,27697,-28659,0,0
1745181615060,4,31105,28528,-20282,31110,-30197,0
1745181615088,3,18298,31327,-8665,-22660,31135,0
1745181615088,2,10108,32192,-7785,-2180,32204,0
1745181615089,0,-10371,31698,-15545,30590,31956,0
1745181615090,1,0,4126,-6016,8192,8,0
1745181615091,4,-27018,28625,20423,30852,-32552,0
1745181615133,3,-14463,31422,-9609,18303,30389,0
1745181615134,2,6015,32485,-9065,-22659,32226,0
1745181615134,0,-2179,31947,-14889,6013,32489,0
1745181615148,1,4096,0,0,-16384,5,0
1745181615149,4,-10354,32416,5657,10115,30368,0
1745181615193,3,-30592,-32489,8536,-18298,-30566,0
1745181615194,2,-30853,32717,1848,-6016,-32491,0
1745181615194,0,18559,-31729,21832,22662,-30340,0
1745181615195,1,0,0,0,0,0,0
1745181615197,4,18306,29793,32663,14455,-30957,0
1745181615223,3,-10108,-30297,15064,-18301,-30047,0
1745181615224,2,-26755,32211,-12665,22395,31409,0
1745181615224,0,-26490,-30346,-29432,-26489,-31629,0
1745181615226,1,0,0,0,0,0,0
1745181615239,4,30589,-31544,-12969,2159,-25536,0
1745181615268,3,30849,-30353,26248,-18302,-30389,0
1745181615270,2,-18569,31382,-22313,26490,31403,0
1745181615298,0,14466,-31687,15176,-30589,-32217,0
1745181615298,1,0,0,0,0,0,0
1745181615300,4,30328,31599,-20217,10366,-19812,0
1745181615314,3,18564,-31743,26904,6018,-31748,0
1745181615328,2,1918,31700,-19273,-14470,31920,0
1745181615328,0,18561,-32758,-473,-22399,32018,0
1745181615329,1,0,0,0,0,0,0
1745181615331,4,-18576,31587,-29993,-10122,-24105,0
1745181615373,3,26501,32249,11464,-6268,31479,0
1745181615373,2,-18562,31951,-9481,26493,31687,0
1745181615374,0,-6274,32226,-10041,-6275,31691,0
1745181615388,1,0,2,2560,-4095,1,0
1745181615389,4,-18324,-27912,12695,-30337,-29158,0
1745181615418,3,10113,31187,-16393,-6015,31262,0
1745181615433,2,-2182,31928,-16713,-18565,32209,0
1745181615433,0,-26756,32458,-3817,14203,31658,0
1745181615434,1,0,1089,160,4096,1,0
1745181615436,4,-30602,31585,-11769,6282,-28712,0
1745181615463,3,-26499,32294,-30889,26490,32500,0
1745181615508,2,22396,32209,-9593,-18563,32217,0
1745181615508,0,-10371,31932,-15049,14203,31660,0
1745181615509,1,0,1,640,0,0,0
1745181615510,4,10106,27311,-20970,30839,32102,0
1745181615523,3,14202,-32549,-17241,-6280,-32282,0
1745181615523,2,6015,32220,-15545,18300,32212,0
1745181615524,0,22398,32736,-2905,1919,31966,0
1745181615525,1,0,6565,-25664,0,10,0
1745181615526,4,-26471,29801,24407,2164,-30692,0
1745181615553,3,18297,32661,2232,-22662,32677,0
1745181615553,2,-14468,32477,-10233,-22660,32469,0
1745181615554,0,-18565,32192,-9209,-2181,31925,0
1745181615555,1,265,3152,8176,28680,50,0
1745181615556,4,22405,29484,5016,-26495,-29347,0
1745181615614,3,-26756,31614,-5497,-22659,31394,0
1745181615614,2,-2179,32752,-2345,14207,-32516,0
1745181615615,0,10105,32169,-16105,-10372,32232,0
1745181615628,1,8448,3093,10625,4129,74,0
1745181615630,4,-5975,31494,5544,22133,-29446,0
1745181615643,3,-14467,30917,-18137,-10368,31729,0
1745181615644,2,-30852,31927,-12521,-14468,31411,0
1745181615658,0,-22663,31122,-18697,-6280,32448,0
1745181615658,1,-7893,246,3072,-4078,164,0
1745181615659,4,-26767,30480,6792,26744,-26166,0
1745181615688,3,30582,29857,-3850,14198,30659,0
1745181615703,2,-6275,32501,-4697,10369,-32484,0
1745181615704,0,6007,30865,22727,30580,30042,0
1745181615704,1,-19918,2567,14738,8218,31,0
1745181615706,4,10353,-23590,-19593,26985,-20805,0
1745181615748,3,-26763,31389,25863,-10379,31925,0
1745181615749,2,1919,32491,1528,18304,32764,0
1745181615763,0,18295,30847,-28265,14200,31108,0
1745181615764,1,15,4125,4769,20484,1,0
1745181615765,4,22119,29379,-19770,18542,-29851,0
1745181615793,3,6008,32682,-2729,6011,-32583,0
1745181615808,2,-2176,32253,-3081,10368,-32762,0
1745181615809,0,-22658,32213,-2665,-18304,-32504,0
1745181615809,1,4108,3072,13057,20485,0,0
1745181615811,4,-26756,27046,26150,2165,-30261,0
1745181615853,3,-30852,31897,9864,26496,31678,0
1745181615854,2,-30592,-32768,2616,1920,32492,0
1745181615854,0,-22657,32750,1416,-22656,31992,0
1745181615855,1,0,4127,769,-28672,0,0
1745181615856,4,18844,27975,8775,30586,-31790,0
1745181615913,3,18308,31709,1848,-26493,31750,0
1745181615914,2,6273,-32503,7960,6274,-32485,0
1745181615914,0,6015,32480,-6329,1919,32767,0
1745181615915,1,28672,1706,112,16395,103,0
1745181615917,4,-22359,30622,-26424,30857,32612,0
1745181615958,3,-22657,31423,-27065,-6277,31705,0
1745181615958,2,1919,32220,-4633,-22657,32759,0
1745181615959,0,-30853,32170,-8313,-2180,31693,0
1745181615973,1,-20222,3663,9696,4108,70,0
1745181615973,4,18347,28486,10552,26748,-28391,0
1745181615988,3,14203,32760,26919,26482,30060,0
1745181616003,2,-30850,32220,-15817,26491,31672,0
1745181616003,0,-18565,32717,-24985,30582,29555,0
1745181616004,1,28939,2973,208,4,28,0
1745181616006,4,18045,-30995,28986,-18299,-24259,0
1745181616048,3,22120,28602,-9242,5739,29948,0
1745181616048,2,10100,30028,21623,-6283,30845,0
1745181616063,0,26219,28099,-7802,10095,29208,0
1745181616064,1,-4095,29,11776,-24569,25,0
1745181616078,4,-2462,-29435,9449,22380,-23349,0
1745181616079,3,6003,30767,-29577,1911,31338,0
1745181616079,2,22394,31659,-16649,-18565,31673,0
1745181616093,0,10099,29489,13559,-30860,29513,0
1745181616093,1,28687,115,23041,-24553,20,0
1745181616095,4,26472,-27295,-425,30827,-27324,0
1745181616193,3,-26757,30863,-17385,18300,29802,0
1745181616194,2,-6277,31682,-19673,-10373,31419,0
1745181616194,0,-22667,30324,24679,6008,29805,0
1745181616194,1,12317,1308,-8015,-8174,0,0
1745181616198,4,19065,-21199,-16825,-6032,-29698,0
1745181616198,3,10370,31506,-5513,22660,32573,0
1745181616199,2,-30851,32218,-2601,-26496,-32747,0
1745181616243,0,10108,31963,-9593,18559,32513,0
1745181616243,1,19,2313,-27072,-28670,0,0
1745181616244,4,22916,31439,18982,27014,31584,0
1745181616245,3,10109,32238,-17529,-22402,-32726,0
1745181616245,2,10109,31934,-10665,-10371,32482,0
1745181616246,0,6011,31384,-16041,-10373,32191,0
1745181616247,1,0,2410,128,0,4,0
1745181616248,4,-22414,31292,3463,14463,-32075,0
1745181616259,3,-2178,32759,-13193,10107,-32548,0
1745181616259,2,10107,31394,-17353,-14469,31403,0
1745181616259,0,-6274,32759,6648,-6272,32754,0
1745181616260,1,0,256,2304,0,1,0
1745181616261,4,-1891,26511,20648,18858,-32465,0
1745181616303,3,26491,-32039,15448,-14465,-32312,0
1745181616303,2,-18565,31934,-9833,10109,31944,0
1745181616304,0,14466,-31960,21928,2180,-32762,0
1745181616305,1,0,0,0,0,0,0
1745181616306,4,-22656,26926,-2631,-17978,-31533,0
1745181616363,3,-2176,32736,10296,-14462,32489,0
1745181616363,2,18300,31941,-10841,-30851,31954,0
1745181616364,0,10113,32767,-2537,26752,32514,0
1745181616365,1,28677,8,25088,12302,40,0
1745181616366,4,-31125,31918,22264,1912,-23576,0
1745181616393,3,18303,30899,-22137,26493,31178,0
1745181616393,2,-26755,31673,-23129,22394,31672,0
1745181616394,0,-26755,32745,-18377,-2183,31936,0
1745181616408,1,28683,63,512,-16383,15,0
1745181616409,4,1636,29992,16808,-2181,-28964,0
1745181616439,3,22653,31492,-28057,14462,32562,0
1745181616468,2,-2181,31417,-15657,22398,32497,0
1745181616468,0,18302,32464,-7257,-1923,32261,0
1745181616469,1,16403,197,2304,4098,9,0
1745181616471,4,-10382,-32547,-12586,-30366,-19440,0
1745181616513,3,-6280,32729,-21993,-14472,32474,0
1745181616513,2,22396,32471,-8937,30590,32491,0
1745181616514,0,18300,32203,-7961,-10370,32237,0
1745181616515,1,-32764,2826,3745,16391,0,0
1745181616516,4,9829,29409,3159,30831,-29835,0
1745181616558,3,18297,32192,-14393,-10374,32436,0
1745181616558,2,-18564,31962,-17625,22397,31703,0
1745181616559,0,6015,32235,-15785,6013,31948,0
1745181616560,1,20495,5120,13330,28685,0,0
1745181616561,4,-18046,-30485,-6138,30849,-29194,0
1745181616588,3,-18564,31665,-4313,-26754,31386,0
1745181616588,2,18301,32210,-9929,-2179,32473,0
1745181616589,0,-6275,31941,-12665,-6276,32238,0
1745181616590,1,20482,6161,-2815,28679,0,0
1745181616591,4,-13397,30082,775,-13941,32649,0
1745181616633,3,30591,31144,-11033,-14464,30939,0
1745181616633,2,30592,-32516,-473,-14208,32259,0
1745181616634,0,6014,31939,-13785,14204,31958,0
1745181616635,1,0,3277,80,15,183,0
1745181616636,4,31139,28475,5944,-6014,-29352,0
1745181616678,3,-10372,30912,-29113,-22658,31224,0
1745181616679,2,14207,32226,-5961,22399,32233,0
1745181616679,0,-26757,31679,-13689,22396,31666,0
1745181616680,1,4616,4372,16384,-8174,100,0
1745181616681,4,30310,27551,29063,-14210,-29566,0
1745181616723,3,-22662,32222,24839,14200,31942,0
1745181616723,2,10107,31949,-20121,-2183,30866,0
1745181616724,0,-26754,-32011,-2393,14205,31719,0
1745181616726,1,8717,4661,9168,4107,42,0
1745181616739,4,26213,30655,-28617,26480,-25001,0
1745181616768,3,30583,31891,-25369,26486,32408,0
1745181616769,2,-6281,30853,-31145,-26760,31387,0
1745181616783,0,-18565,31927,-8793,30589,32466,0
1745181616783,1,20500,2744,-18223,-12273,0,0
1745181616785,4,5745,-32031,-32600,30575,-19276,0
1745181616814,3,26487,32111,-4601,14202,31621,0
1745181616828,2,-2184,31378,-26841,10105,31658,0
1745181616828,0,14204,32190,-12345,-18308,32001,0
1745181616829,1,8463,513,-6912,-20463,34,0
1745181616831,4,-18564,-30465,18888,-30609,-20738,0
1745181616903,3,10109,31382,-15849,6012,30849,0
1745181616903,2,30587,31669,-21481,-26758,31655,0
1745181616904,0,1914,30871,-21305,26490,31654,0
1745181616905,1,-8175,10,-8448,28686,5,0
1745181616906,4,1896,-29206,2935,-13968,-25217,0
1745181616948,3,6014,30124,28695,10107,30904,0
1745181616949,2,22395,31668,-17625,6012,31675,0
1745181616949,0,-22662,30624,-31625,14202,30638,0
1745181616963,1,-20468,3393,6049,-24568,0,0
1745181616964,4,-22146,30989,-13274,-17777,32038,0
1745181617008,3,-18567,30626,15879,18296,31177,0
1745181617008,2,-10372,31413,-24169,-30855,31644,0
1745181617009,0,-14473,30833,29479,1910,30843,0
1745181617010,1,0,2407,48,0,2,0
1745181617010,4,30579,27289,-24635,-21607,-32540,0
1745181617011,3,18295,32196,-18233,10106,32174,0
1745181617012,2,-18563,31950,-8265,6014,31679,0
1745181617012,0,14202,31392,-15145,26492,31410,0
1745181617013,1,259,7959,5969,0,8,0
1745181617014,4,30604,28803,-15144,-26202,-31681,0
1745181617053,3,14200,32135,-9865,26489,31612,0
1745181617053,2,22396,32469,-7561,26493,32213,0
1745181617054,0,-14472,30864,-28361,26488,30574,0
1745181617059,1,8456,5254,22048,24581,21,0
1745181617059,4,-22913,28369,7720,-18569,-30847,0
1745181617098,3,1915,31097,-10377,10107,30820,0
1745181617099,2,1917,31961,-20169,-30853,31416,0
1745181617099,0,10105,31141,32007,-14471,30883,0
1745181617100,1,-28635,208,-18431,-20433,140,0
1745181617101,4,-6289,-30597,-10808,-14459,-24946,0
1745181617143,3,6011,30339,-20761,22398,31697,0
1745181617143,2,26491,31674,-15833,-6276,32219,0
1745181617144,0,18298,30346,-30521,-2183,31657,0
1745181617158,1,-28115,3392,-26848,16390,9,0
1745181617159,4,14195,-30803,-30504,-22654,-20595,0
1745181617188,3,-10113,31749,-26345,-10113,-32410,0
1745181617203,2,-22658,31965,-12041,22655,-32756,0
1745181617203,0,18296,30589,30759,-18570,30579,0
1745181617204,1,24,1211,881,12304,64,0
1745181617205,4,26475,31524,31319,19058,-15197,0
1745181617248,3,-10112,-31667,-9369,18556,-31439,0
1745181617248,2,30847,-32510,3688,-14209,-32760,0
1745181617249,0,-22668,30016,22039,-2188,30292,0
1745181617250,1,24590,5754,-29824,-12287,37,0
1745181617251,4,10357,-28396,23432,6520,-22200,0
1745181617293,3,18299,-32023,6872,-18563,-32296,0
1745181617293,2,22656,-32761,-2505,14207,32495,0
1745181617294,0,-2184,31375,-16313,30588,31143,0
1745181617295,1,20491,6185,-25902,20,0,0
1745181617296,4,-30857,30969,-601,18833,-27017,0
1745181617338,3,-6276,31886,5368,-30850,31121,0
1745181617338,2,14206,32221,-6409,-26754,31961,0
1745181617339,0,-30854,31132,-20569,-18564,30888,0
1745181617340,1,12294,6457,-27231,16387,0,0
1745181617341,4,2184,29233,30391,22653,-31952,0
1745181617383,3,-30851,30593,-10937,-30849,30636,0
1745181617384,2,-2179,32740,-1449,-30849,32230,0
1745181617384,0,-18564,31664,-12265,-30852,31423,0
1745181617385,1,24837,3379,3280,-28670,26,0
1745181617386,4,30333,26533,-14249,1924,31699,0
1745181617473,3,-6276,31183,-29033,-6277,31189,0
1745181617473,2,-26754,-32514,744,14464,-32494,0
1745181617474,0,6011,32719,-9513,-22662,31409,0
1745181617475,1,531,4402,240,-8188,50,0
1745181617476,4,10114,29033,3543,26737,-32742,0
1745181617476,3,22395,31980,-28505,-6280,32217,0
1745181617477,2,14466,-32480,5944,-18303,-32757,0
1745181617477,0,-30851,32458,-14185,-18566,31426,0
1745181617478,1,266,2663,240,28674,15,0
1745181617479,4,-6547,31421,-3929,10351,-23663,0
1745181617563,3,-30857,-32301,-18617,22390,32680,0
1745181617563,2,-14208,-32228,3480,-1921,-32754,0
1745181617564,0,-18567,31912,-16009,-30853,31684,0
1745181617565,1,28677,329,224,-32768,2,0
1745181617565,4,6001,-31645,-19481,-2190,-21259,0
1745181617566,3,-18569,31859,-1801,26490,31869,0
1745181617567,2,6273,-32757,6376,-18303,-31956,0
1745181617567,0,-22660,31931,-11145,-22660,32201,0
1745181617578,1,12295,1658,-27759,-24558,5,0
1745181617579,4,-14479,30280,14231,2157,-25536,0
1745181617623,3,-30852,31111,-10105,30590,31696,0
1745181617623,2,6273,-32756,-1481,-1921,32514,0
1745181617624,0,18299,31401,-28073,-10374,31674,0
1745181617625,1,-20461,76,25856,-8184,12,0
1745181617626,4,30836,-27952,-12169,14950,-8185,0
1745181617668,3,1919,30939,-22505,-2178,31466,0
